indicator,area_or_country,Frequency,year,TimeSeriesId,TimeSeriesDescription,year,CL_UNIT,UNIT_MULT,value,NoteRef,requested_indicator
ExpGds,AllCountries,A,2006,TSI_ItaExpGds_A,Exports of goods; annual,2006,USD,6,1040905,,ExpGds
ExpGds,AllCountries,A,2007,TSI_ItaExpGds_A,Exports of goods; annual,2007,USD,6,1165151,,ExpGds
ExpGds,AllCountries,A,2008,TSI_ItaExpGds_A,Exports of goods; annual,2008,USD,6,1308795,,ExpGds
ExpGds,AllCountries,A,2009,TSI_ItaExpGds_A,Exports of goods; annual,2009,USD,6,1070331,,ExpGds
ExpGds,AllCountries,A,2010,TSI_ItaExpGds_A,Exports of goods; annual,2010,USD,6,1290279,,ExpGds
ExpGds,AllCountries,A,2011,TSI_ItaExpGds_A,Exports of goods; annual,2011,USD,6,1498887,,ExpGds
ExpGds,AllCountries,A,2012,TSI_ItaExpGds_A,Exports of goods; annual,2012,USD,6,1562630,,ExpGds
ExpGds,AllCountries,A,2013,TSI_ItaExpGds_A,Exports of goods; annual,2013,USD,6,1593708,,ExpGds
ExpGds,AllCountries,A,2014,TSI_ItaExpGds_A,Exports of goods; annual,2014,USD,6,1635563,,ExpGds
ExpGds,AllCountries,A,2015,TSI_ItaExpGds_A,Exports of goods; annual,2015,USD,6,1511381,,ExpGds
ExpGds,AllCountries,A,2016,TSI_ItaExpGds_A,Exports of goods; annual,2016,USD,6,1457393,,ExpGds
ExpGds,AllCountries,A,2017,TSI_ItaExpGds_A,Exports of goods; annual,2017,USD,6,1557003,,ExpGds
ExpGds,AllCountries,A,2018,TSI_ItaExpGds_A,Exports of goods; annual,2018,USD,6,1676913,,ExpGds
ExpGds,AllCountries,A,2019,TSI_ItaExpGds_A,Exports of goods; annual,2019,USD,6,1655098,,ExpGds
ExpGds,AllCountries,A,2020,TSI_ItaExpGds_A,Exports of goods; annual,2020,USD,6,1433852,,ExpGds
ExpGds,AllCountries,A,2021,TSI_ItaExpGds_A,Exports of goods; annual,2021,USD,6,1765853,,ExpGds
ExpGds,AllCountries,A,2022,TSI_ItaExpGds_A,Exports of goods; annual,2022,USD,6,2095576,,ExpGds
ExpGds,AllCountries,A,2023,TSI_ItaExpGds_A,Exports of goods; annual,2023,USD,6,2047211,,ExpGds
ExpGds,AllCountries,A,2024,TSI_ItaExpGds_A,Exports of goods; annual,2024,USD,6,2079730,,ExpGds
ExpGds,AllCountries,A,2025,TSI_ItaExpGds_A,Exports of goods; annual,2025,USD,6,2191920,,ExpGds
