dataset_key,dataset_name,url,source,fetched_at_utc,status,source_mode,row_count,schema_notes
bea_trade,U.S. International Trade in Goods and Services (BEA),https://apps.bea.gov/api/data,BEA / Data.gov,2026-08-09T21:00:25.100039+00:00,success,live_api,66,"Live BEA ITA columns: ['indicator', 'area_or_country', 'Frequency', 'year', 'TimeSeriesId', 'TimeSeriesDescription', 'year', 'CL_UNIT', 'UNIT_MULT', 'value', 'NoteRef', 'requested_indicator']"
census_imports_hs,USA Trade Data – Imports by Country & Commodity (Census HS),https://api.census.gov/data/timeseries/intltrade/imports/hs,U.S. Census Bureau / Data.gov,2026-08-09T21:01:21.916317+00:00,success,live_api,3033,"Live Census API (imports) months=2026-03..2026-06 hs4=8 cols=['date', 'country', 'hs_code', 'commodity', 'critical', 'value_usd_m', 'flow']"
census_exports_hs,USA Trade Data – Exports by Country & Commodity (Census HS),https://api.census.gov/data/timeseries/intltrade/exports/hs,U.S. Census Bureau / Data.gov,2026-08-09T21:02:14.292540+00:00,success,live_api,5516,"Live Census API (exports) months=2026-03..2026-06 hs4=8 cols=['date', 'country', 'hs_code', 'commodity', 'critical', 'value_usd_m', 'flow']"
bts_ports,Port-Level Trade Statistics (BTS),https://data.bts.gov/resource/k5sy-ie2e.json,Bureau of Transportation Statistics / Data.gov,2026-08-09T21:02:28.923211+00:00,fallback_synthetic,synthetic,360,"Synthetic port TEU, congestion index, dwell days, vessel queue."
commerce_supply_chain,Supply Chain Disruption Data (Commerce),https://api.census.gov/data/timeseries/intltrade/imports/porths,U.S. Department of Commerce / Data.gov,2026-08-09T21:02:28.933029+00:00,fallback_synthetic,synthetic,40,"Supply-chain disruption event log (severity, delay, commodity, country)."
itc_tariffs,Tariff & Duty Schedules (ITC),https://dataweb.usitc.gov/trade/search/Import/HTS,U.S. International Trade Commission / Data.gov,2026-08-09T21:02:28.935085+00:00,fallback_synthetic,synthetic,25,HTS MFN + Section 301 effective duty rates by HS4 commodity.
usda_commodity,Global Commodity Flow Data (USDA + Census),https://api.census.gov/data/timeseries/intltrade/exports/usda,USDA / Census / Data.gov,2026-08-09T21:02:29.381041+00:00,fallback_synthetic,synthetic,2400,"Ag commodity subset (maize, soya) from unified trade table."
unified_trade,Unified Trade Table (country × commodity × month),internal://census_live_merge,Agent Data Engineering Layer,2026-08-09T21:02:29.396557+00:00,constructed_from_live_census,live_api,5706,"Built from live Census imports/exports: date, country, hs_code, commodity, critical, import/export value & volume."
